Files already downloaded and verified
Files already downloaded and verified
Epoch: 2, Iteration:   740 loss: 1.803
Epoch: 2, Iteration:   760 loss: 1.773
Epoch: 2, Iteration:   780 loss: 1.774
Loss: 1.720
Accuracy of the network on the 10000 test images: 34 %
Accuracy of plane : 19 %
Accuracy of   car : 54 %
Accuracy of  bird :  2 %
Accuracy of   cat : 41 %
Accuracy of  deer : 10 %
Accuracy of   dog :  5 %
Accuracy of  frog : 55 %
Accuracy of horse : 64 %
Accuracy of  ship : 24 %
Accuracy of truck : 64 %
Epoch: 3, Iteration:     0 loss: 0.084
Epoch: 3, Iteration:    20 loss: 1.600
Epoch: 3, Iteration:    40 loss: 1.637
Epoch: 3, Iteration:    60 loss: 1.682
Epoch: 3, Iteration:    80 loss: 1.745
Epoch: 3, Iteration:   100 loss: 1.593
Epoch: 3, Iteration:   120 loss: 1.622
Epoch: 3, Iteration:   140 loss: 1.672
Epoch: 3, Iteration:   160 loss: 1.650
Epoch: 3, Iteration:   180 loss: 1.629
Epoch: 3, Iteration:   200 loss: 1.625
Epoch: 3, Iteration:   220 loss: 1.635
Epoch: 3, Iteration:   240 loss: 1.593
Epoch: 3, Iteration:   260 loss: 1.611
Epoch: 3, Iteration:   280 loss: 1.709
Epoch: 3, Iteration:   300 loss: 1.632
Epoch: 3, Iteration:   320 loss: 1.644
Epoch: 3, Iteration:   340 loss: 1.618
Epoch: 3, Iteration:   360 loss: 1.637
Epoch: 3, Iteration:   380 loss: 1.709
Epoch: 3, Iteration:   400 loss: 1.599
Epoch: 3, Iteration:   420 loss: 1.533
Epoch: 3, Iteration:   440 loss: 1.601
Epoch: 3, Iteration:   460 loss: 1.642
Epoch: 3, Iteration:   480 loss: 1.597
Epoch: 3, Iteration:   500 loss: 1.598
Epoch: 3, Iteration:   520 loss: 1.598
Epoch: 3, Iteration:   540 loss: 1.595
Epoch: 3, Iteration:   560 loss: 1.590
Epoch: 3, Iteration:   580 loss: 1.571
Epoch: 3, Iteration:   600 loss: 1.491
Epoch: 3, Iteration:   620 loss: 1.575
Epoch: 3, Iteration:   640 loss: 1.601
Epoch: 3, Iteration:   660 loss: 1.589
Epoch: 3, Iteration:   680 loss: 1.533
Epoch: 3, Iteration:   700 loss: 1.534
Epoch: 3, Iteration:   720 loss: 1.472
Epoch: 3, Iteration:   740 loss: 1.535
Epoch: 3, Iteration:   760 loss: 1.522
Epoch: 3, Iteration:   780 loss: 1.483
Loss: 1.460
Accuracy of the network on the 10000 test images: 45 %
Accuracy of plane : 44 %
Accuracy of   car : 82 %
Accuracy of  bird : 17 %
Accuracy of   cat : 41 %
Accuracy of  deer : 50 %
Accuracy of   dog : 30 %
Accuracy of  frog : 62 %
Accuracy of horse : 48 %
Accuracy of  ship : 74 %
Accuracy of truck : 25 %
Epoch: 4, Iteration:     0 loss: 0.066
Epoch: 4, Iteration:    20 loss: 1.497
Epoch: 4, Iteration:    40 loss: 1.466
Epoch: 4, Iteration:    60 loss: 1.523
Epoch: 4, Iteration:    80 loss: 1.468
Epoch: 4, Iteration:   100 loss: 1.513
Epoch: 4, Iteration:   120 loss: 1.502
Epoch: 4, Iteration:   140 loss: 1.436
Epoch: 4, Iteration:   160 loss: 1.464
Epoch: 4, Iteration:   180 loss: 1.540
Epoch: 4, Iteration:   200 loss: 1.466
Epoch: 4, Iteration:   220 loss: 1.439
Epoch: 4, Iteration:   240 loss: 1.471
Epoch: 4, Iteration:   260 loss: 1.572
Epoch: 4, Iteration:   280 loss: 1.538
Epoch: 4, Iteration:   300 loss: 1.444
Epoch: 4, Iteration:   320 loss: 1.457
Epoch: 4, Iteration:   340 loss: 1.547
Epoch: 4, Iteration:   360 loss: 1.569
Epoch: 4, Iteration:   380 loss: 1.553
Epoch: 4, Iteration:   400 loss: 1.466
Epoch: 4, Iteration:   420 loss: 1.501
Epoch: 4, Iteration:   440 loss: 1.492
Epoch: 4, Iteration:   460 loss: 1.435
Epoch: 4, Iteration:   480 loss: 1.454
Epoch: 4, Iteration:   500 loss: 1.545
Epoch: 4, Iteration:   520 loss: 1.477
Epoch: 4, Iteration:   540 loss: 1.438
Epoch: 4, Iteration:   560 loss: 1.492
Epoch: 4, Iteration:   580 loss: 1.503
Epoch: 4, Iteration:   600 loss: 1.449
Epoch: 4, Iteration:   620 loss: 1.432
Epoch: 4, Iteration:   640 loss: 1.449
Epoch: 4, Iteration:   660 loss: 1.449
Epoch: 4, Iteration:   680 loss: 1.452
Epoch: 4, Iteration:   700 loss: 1.414
Epoch: 4, Iteration:   720 loss: 1.320
Epoch: 4, Iteration:   740 loss: 1.374
Epoch: 4, Iteration:   760 loss: 1.414
Epoch: 4, Iteration:   780 loss: 1.418
Loss: 1.358
Accuracy of the network on the 10000 test images: 49 %
Accuracy of plane : 67 %
Accuracy of   car : 38 %
Accuracy of  bird : 46 %
Accuracy of   cat : 61 %
Accuracy of  deer : 20 %
Accuracy of   dog : 27 %
Accuracy of  frog : 48 %
Accuracy of horse : 28 %
Accuracy of  ship : 74 %
Accuracy of truck : 69 %
Epoch: 5, Iteration:     0 loss: 0.058
Epoch: 5, Iteration:    20 loss: 1.325
Epoch: 5, Iteration:    40 loss: 1.422
Epoch: 5, Iteration:    60 loss: 1.433
Epoch: 5, Iteration:    80 loss: 1.425
Epoch: 5, Iteration:   100 loss: 1.392
Epoch: 5, Iteration:   120 loss: 1.372
Epoch: 5, Iteration:   140 loss: 1.354
Epoch: 5, Iteration:   160 loss: 1.331
Epoch: 5, Iteration:   180 loss: 1.423
Epoch: 5, Iteration:   200 loss: 1.396
Epoch: 5, Iteration:   220 loss: 1.424
Epoch: 5, Iteration:   240 loss: 1.289
Epoch: 5, Iteration:   260 loss: 1.300
Epoch: 5, Iteration:   280 loss: 1.342
Epoch: 5, Iteration:   300 loss: 1.346
Epoch: 5, Iteration:   320 loss: 1.341
Epoch: 5, Iteration:   340 loss: 1.337
Epoch: 5, Iteration:   360 loss: 1.362
Epoch: 5, Iteration:   380 loss: 1.320
Epoch: 5, Iteration:   400 loss: 1.351
Epoch: 5, Iteration:   420 loss: 1.339
Epoch: 5, Iteration:   440 loss: 1.352
Epoch: 5, Iteration:   460 loss: 1.400
Epoch: 5, Iteration:   480 loss: 1.336
Epoch: 5, Iteration:   500 loss: 1.405
Epoch: 5, Iteration:   520 loss: 1.332
Epoch: 5, Iteration:   540 loss: 1.330
Epoch: 5, Iteration:   560 loss: 1.282
Epoch: 5, Iteration:   580 loss: 1.300
Epoch: 5, Iteration:   600 loss: 1.288
Epoch: 5, Iteration:   620 loss: 1.312
Epoch: 5, Iteration:   640 loss: 1.361
Epoch: 5, Iteration:   660 loss: 1.276
Epoch: 5, Iteration:   680 loss: 1.289
Epoch: 5, Iteration:   700 loss: 1.280
Epoch: 5, Iteration:   720 loss: 1.336
Epoch: 5, Iteration:   740 loss: 1.300
Epoch: 5, Iteration:   760 loss: 1.404
Epoch: 5, Iteration:   780 loss: 1.384
Loss: 1.579
Accuracy of the network on the 10000 test images: 41 %
Accuracy of plane : 78 %
Accuracy of   car : 90 %
Accuracy of  bird : 43 %
Accuracy of   cat : 21 %
Accuracy of  deer : 38 %
Accuracy of   dog : 10 %
Accuracy of  frog : 87 %
Accuracy of horse : 12 %
Accuracy of  ship : 39 %
Accuracy of truck : 16 %
Epoch: 6, Iteration:     0 loss: 0.068
Epoch: 6, Iteration:    20 loss: 1.251
Epoch: 6, Iteration:    40 loss: 1.227
Epoch: 6, Iteration:    60 loss: 1.280
Epoch: 6, Iteration:    80 loss: 1.333
Epoch: 6, Iteration:   100 loss: 1.253
Epoch: 6, Iteration:   120 loss: 1.250
Epoch: 6, Iteration:   140 loss: 1.295
Epoch: 6, Iteration:   160 loss: 1.276
Epoch: 6, Iteration:   180 loss: 1.223
Epoch: 6, Iteration:   200 loss: 1.236
Epoch: 6, Iteration:   220 loss: 1.275
Epoch: 6, Iteration:   240 loss: 1.326
Epoch: 6, Iteration:   260 loss: 1.272
Epoch: 6, Iteration:   280 loss: 1.299
Epoch: 6, Iteration:   300 loss: 1.244
Epoch: 6, Iteration:   320 loss: 1.268
Epoch: 6, Iteration:   340 loss: 1.217
Epoch: 6, Iteration:   360 loss: 1.184
Epoch: 6, Iteration:   380 loss: 1.167
Epoch: 6, Iteration:   400 loss: 1.182
Epoch: 6, Iteration:   420 loss: 1.230
Epoch: 6, Iteration:   440 loss: 1.169
Epoch: 6, Iteration:   460 loss: 1.167
Epoch: 6, Iteration:   480 loss: 1.213
Epoch: 6, Iteration:   500 loss: 1.213
Epoch: 6, Iteration:   520 loss: 1.193
Epoch: 6, Iteration:   540 loss: 1.130
Epoch: 6, Iteration:   560 loss: 1.235
Epoch: 6, Iteration:   580 loss: 1.191
Epoch: 6, Iteration:   600 loss: 1.163
Epoch: 6, Iteration:   620 loss: 1.183
Epoch: 6, Iteration:   640 loss: 1.153
Epoch: 6, Iteration:   660 loss: 1.126
Epoch: 6, Iteration:   680 loss: 1.195
Epoch: 6, Iteration:   700 loss: 1.221
Epoch: 6, Iteration:   720 loss: 1.248
Epoch: 6, Iteration:   740 loss: 1.172
Epoch: 6, Iteration:   760 loss: 1.209
Epoch: 6, Iteration:   780 loss: 1.179
Loss: 1.321
Accuracy of the network on the 10000 test images: 50 %
Accuracy of plane : 67 %
Accuracy of   car : 40 %
Accuracy of  bird : 30 %
Accuracy of   cat : 61 %
Accuracy of  deer : 45 %
Accuracy of   dog : 27 %
Accuracy of  frog : 78 %
Accuracy of horse : 60 %
Accuracy of  ship : 24 %
Accuracy of truck : 69 %
Epoch: 7, Iteration:     0 loss: 0.053
Epoch: 7, Iteration:    20 loss: 1.118
Epoch: 7, Iteration:    40 loss: 1.083
Epoch: 7, Iteration:    60 loss: 1.158
Epoch: 7, Iteration:    80 loss: 1.181
Epoch: 7, Iteration:   100 loss: 1.124
