Files already downloaded and verified
Files already downloaded and verified
Epoch: 2, Iteration:   740 loss: 1.690
Epoch: 2, Iteration:   760 loss: 1.676
Epoch: 2, Iteration:   780 loss: 1.678
Loss: 1.605
Accuracy of the network on the 10000 test images: 42 %
Accuracy of plane : 64 %
Accuracy of   car : 24 %
Accuracy of  bird : 27 %
Accuracy of   cat : 23 %
Accuracy of  deer : 23 %
Accuracy of   dog : 50 %
Accuracy of  frog : 55 %
Accuracy of horse : 60 %
Accuracy of  ship : 58 %
Accuracy of truck : 38 %
Epoch: 3, Iteration:     0 loss: 0.082
Epoch: 3, Iteration:    20 loss: 1.708
Epoch: 3, Iteration:    40 loss: 1.733
Epoch: 3, Iteration:    60 loss: 1.810
Epoch: 3, Iteration:    80 loss: 1.855
Epoch: 3, Iteration:   100 loss: 1.678
Epoch: 3, Iteration:   120 loss: 1.794
Epoch: 3, Iteration:   140 loss: 1.848
Epoch: 3, Iteration:   160 loss: 1.771
Epoch: 3, Iteration:   180 loss: 1.675
Epoch: 3, Iteration:   200 loss: 1.618
Epoch: 3, Iteration:   220 loss: 1.613
Epoch: 3, Iteration:   240 loss: 1.705
Epoch: 3, Iteration:   260 loss: 1.635
Epoch: 3, Iteration:   280 loss: 1.595
Epoch: 3, Iteration:   300 loss: 1.576
Epoch: 3, Iteration:   320 loss: 1.593
Epoch: 3, Iteration:   340 loss: 1.564
Epoch: 3, Iteration:   360 loss: 1.517
Epoch: 3, Iteration:   380 loss: 1.608
Epoch: 3, Iteration:   400 loss: 1.602
Epoch: 3, Iteration:   420 loss: 1.584
Epoch: 3, Iteration:   440 loss: 1.598
Epoch: 3, Iteration:   460 loss: 1.559
Epoch: 3, Iteration:   480 loss: 1.496
Epoch: 3, Iteration:   500 loss: 1.542
Epoch: 3, Iteration:   520 loss: 1.538
Epoch: 3, Iteration:   540 loss: 1.429
Epoch: 3, Iteration:   560 loss: 1.507
Epoch: 3, Iteration:   580 loss: 1.528
Epoch: 3, Iteration:   600 loss: 1.527
Epoch: 3, Iteration:   620 loss: 1.519
Epoch: 3, Iteration:   640 loss: 1.547
Epoch: 3, Iteration:   660 loss: 1.530
Epoch: 3, Iteration:   680 loss: 1.580
Epoch: 3, Iteration:   700 loss: 1.542
Epoch: 3, Iteration:   720 loss: 1.655
Epoch: 3, Iteration:   740 loss: 1.523
Epoch: 3, Iteration:   760 loss: 1.617
Epoch: 3, Iteration:   780 loss: 1.591
Loss: 1.621
Accuracy of the network on the 10000 test images: 37 %
Accuracy of plane : 57 %
Accuracy of   car : 64 %
Accuracy of  bird : 25 %
Accuracy of   cat : 50 %
Accuracy of  deer : 27 %
Accuracy of   dog : 54 %
Accuracy of  frog : 12 %
Accuracy of horse :  9 %
Accuracy of  ship : 84 %
Accuracy of truck :  5 %
Epoch: 4, Iteration:     0 loss: 0.078
Epoch: 4, Iteration:    20 loss: 1.631
Epoch: 4, Iteration:    40 loss: 1.547
Epoch: 4, Iteration:    60 loss: 1.434
Epoch: 4, Iteration:    80 loss: 1.406
Epoch: 4, Iteration:   100 loss: 1.409
Epoch: 4, Iteration:   120 loss: 1.450
Epoch: 4, Iteration:   140 loss: 1.577
Epoch: 4, Iteration:   160 loss: 1.458
Epoch: 4, Iteration:   180 loss: 1.472
Epoch: 4, Iteration:   200 loss: 1.391
Epoch: 4, Iteration:   220 loss: 1.436
Epoch: 4, Iteration:   240 loss: 1.487
Epoch: 4, Iteration:   260 loss: 1.442
